discordUser,member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_gbm_year,gbm_ratio,n_social_year,social_ratio,n_hello_world_year,hello_world_ratio,n_sponsorship_year,sponsorship_ratio,n_tech_exploration_year,tech_exploration_ratio,n_class_support_year,class_support_ratio,n_workshop_year,workshop_ratio,n_ops_year,ops_ratio,n_collabs_year,collabs_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,class,major,school,gender,race_or_ethnicity,y_paid_dues
.aaanto,76,5,8,4,1,0.2,0,,2,0.4,1,0.2,0,,0,,0,,1,0.2,0,,0,,0,1,1,101,0,1,1,1,5,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
punk_face,298,1,3,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,299,0,5,4,2,3,Senior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
schnei_.,308,3,5,1,0,,0,,0,,0,,0,,3,1,0,,0,,0,,0,,0,0,1,833,0,10,3,2,11,Junior,Computer Science,University of Central Florida,Woman,Black or African American,1
trumpetyoda,309,0,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1143,0,3,2,1,15,High School,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
luciano_9990,309,7,12,6,3,0.42857142857142855,0,,1,0.14285714285714285,1,0.14285714285714285,0,,0,,0,,2,0.2857142857142857,0,,0,,0,1,1,448,0,2,2,1,13,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
tenismybias,83,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,883,0,14,2,2,2,Senior,Computer Science,University of Central Florida,Woman,Other,1
bisforboring,76,2,6,4,1,0.5,0,,0,,0,,0,,0,,0,,1,0.5,0,,0,,0,1,1,152,0,1,1,1,6,Sophomore,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
inferno6172,70,11,9,4,1,0.09090909090909091,1,0.09090909090909091,2,0.18181818181818182,1,0.09090909090909091,0,,0,,0,,5,0.45454545454545453,1,0.09090909090909091,0,,0,1,1,449,1,15,4,1,7,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
mmmwaffle,83,2,4,4,1,0.5,1,0.5,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,85,0,23,11,3,8,Freshman,Computer Science,University of Central Florida,Man,Prefer not to answer,1
crispybacon14,294,1,3,1,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,1,1,470,0,0,0,0,6,Sophomore,Computer Science,University of Central Florida,Man,Asian,1
jackr3979,294,4,6,4,0,,0,,2,0.5,0,,0,,0,,0,,1,0.25,1,0.25,0,,0,1,1,439,1,18,4,2,21,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
devon.ucf.28_72080,76,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,430,0,0,0,0,5,Sophomore,Computer Science,University of Central Florida,Man,Other,1
elvismariowith,298,1,6,3,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,367,0,22,4,3,11,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
ti30xa,292,1,3,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,1193,1,255,71,7,19,Senior,Computer Science,University of Central Florida,Woman,Prefer not to answer,1
hubiyuu,292,2,7,5,0,,0,,1,0.5,0,,0,,0,,0,,0,,1,0.5,0,,0,1,1,817,0,0,0,0,12,Senior,Computer Science,University of Central Florida,Woman,Black or African American,1
reeces_pieces_,301,11,18,8,3,0.2727272727272727,2,0.18181818181818182,0,,0,,0,,0,,0,,6,0.5454545454545454,0,,0,,0,1,1,558,1,3233,284,20,14,Senior,Computer Science,University of Central Florida,Man,Asian,1
carfos,297,6,7,3,0,,0,,0,,1,0.16666666666666666,0,,0,,0,,5,0.8333333333333334,0,,0,,0,0,1,438,1,504,74,11,20,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
