member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_workshops_year,n_socials_year,workshop_ratio,social_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,y_paid_dues,n_other_events,other_ratio,school_grouped,major_grouped,level_grouped,tenure_years,is_discord_active
302,7,7,2,1,1,0.14285714285714285,0.14285714285714285,0,9.084256095825644,0,1,1,650.0,0,1,1,1,15,1,5,0.7142857142857143,UCF,Tech,Undergraduate,0.8273972602739726,1
82,5,5,1,2,0,0.4,0.0,0,9.084256095825644,0,1,1,132.0,1,522,47,7,9,1,3,0.6,UCF,Tech,Undergraduate,0.22465753424657534,1
298,8,8,3,1,0,0.125,0.0,0,9.084256095825644,0,0,1,425.0,1,10,2,1,10,1,7,0.875,UCF,Tech,Undergraduate,0.8164383561643835,1
76,2,2,2,1,0,0.5,0.0,1,10.0,1,0,1,75.0,0,1,1,1,1,1,1,0.5,UCF,Tech,Undergraduate,0.20821917808219179,1
292,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,794.0,0,0,0,0,11,1,1,1.0,UCF,Tech,Undergraduate,0.8,0
292,8,7,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,446.0,0,5,2,1,6,1,8,1.0,UCF,Tech,Grad/Other,0.8,1
300,6,5,2,0,0,0.0,0.0,0,9.084256095825644,0,1,1,440.0,0,65,34,8,2,1,6,1.0,UCF,Tech,Undergraduate,0.821917808219178,1
301,18,16,5,8,0,0.4444444444444444,0.0,0,9.084256095825644,0,0,1,628.0,0,1,1,1,10,1,10,0.5555555555555556,UCF,Tech,Undergraduate,0.8246575342465754,1
298,6,6,3,0,0,0.0,0.0,0,9.084256095825644,0,1,1,449.0,0,0,0,0,3,1,6,1.0,UCF,Tech,Grad/Other,0.8164383561643835,0
308,24,22,10,4,0,0.16666666666666666,0.0,21,8.42857142857143,1,1,1,813.0,1,14,9,3,21,1,20,0.8333333333333334,UCF,Tech,Undergraduate,0.8438356164383561,1
